12000			
215			
600			
36			
2100	13	773	1659
2200	19	953	1950
2300	24	655	1721
2400	20	170	2199
2500	23	476	1262
2700	24	914	2608
2800	15	740	1764
2900	5	766	1732
3000	24	1116	2093
3100	16	1373	2162
3300	12	713	1308
3500	24	1638	3225
3600	16	560	1804
3900	4	533	1809
4000	20	1843	3324
4100	24	1700	3000
4200	6	133	3542
4300	14	1579	3779
4400	21	1835	3895
4500	20	365	1237
4600	24	1873	3844
4700	2	2208	4248
4800	11	349	1602
5000	26	2220	4858
5100	23	1689	5020
5400	25	1832	3867
5600	8	1116	2538
5700	16	1289	5433
5800	10	1280	5741
6100	14	1130	2884
6200	6	1949	3313
6300	19	761	4368
6400	18	2511	4925
6500	11	263	3288
6600	27	279	3542
6700	16	1304	3416
